Vardas         Pavarde        ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.           
Augustas       Kavaliauskas   6         10        5         1         1         4         10        10        8         4         10        1         5         5         9         9         
Matas          Kavaliauskas   3         3         1         1         3         5         3         2         7         10        6         8         1         9         3         1         
Liepa          Vasiliauskaite 5         9         9         8         9         5         9         2         4         6         5         4         7         9         7         6         
Arnas          Navickas       9         9         10        8         8         1         2         6         9         9         1         2         2         3         10        7         
Karolina       Lukoseviciute  6         1         1         6         4         6         10        5         1         4         3         5         3         1         6         4         
Aleksandra     Pociute        2         3         10        7         4         6         4         6         4         6         8         9         2         1         2         9         
Smilte         Kavaliauskaite 3         5         1         6         3         9         9         7         3         8         6         5         4         2         1         2         
Liepa          Pociute        1         7         6         7         2         10        5         10        1         10        2         5         7         3         1         8         
Guoste         Lukoseviciute  7         5         9         8         10        6         7         9         9         10        3         7         9         3         2         6         
Arnas          Mazeika        8         4         2         6         1         8         4         7         9         9         2         8         10        6         5         4         
Gija           Balciunaite    9         10        6         2         5         2         5         6         5         1         1         8         3         9         10        3         
Matas          Sadauskas      9         10        5         8         6         6         3         4         9         8         5         6         3         8         2         4         
Tomas          Kavaliauskas   10        7         9         3         4         8         5         5         8         2         8         7         3         10        7         10        
Liepa          Lukoseviciute  5         3         7         4         4         6         7         10        3         2         9         4         6         10        4         9         
Marius         Mazeika        5         4         2         9         2         5         2         5         9         7         6         1         6         7         6         9         
Ieva           Pociute        9         5         5         2         9         9         6         10        8         1         5         3         2         7         5         3         
Arvydas        Sadauskas      8         8         2         4         4         1         3         5         4         6         2         10        1         9         6         2         
Tomas          Kavaliauskas   8         8         10        1         8         6         7         6         3         5         2         3         3         6         9         4         
Karolina       Balciunaite    10        2         2         10        5         2         4         4         7         7         2         6         3         10        7         2         
Deivydas       Adomaitis      7         2         9         4         8         2         4         3         2         1         7         7         2         5         10        4         
Vita           Lukoseviciute  2         7         2         4         9         8         9         10        8         9         7         6         5         9         1         8         
Aleksandra     Kavaliauskaite 10        10        3         4         9         10        3         9         10        8         1         4         10        5         6         4         
Arvydas        Navickas       5         5         3         10        2         5         2         4         8         8         8         7         6         8         10        9         
Patricija      Vasiliauskaite 9         7         4         10        3         4         6         9         9         6         10        6         2         1         1         7         
Ieva           Butkute        10        2         3         6         8         8         3         5         9         10        1         10        6         2         10        9         
Vita           Butkute        10        4         9         6         10        3         7         6         3         9         8         2         4         3         5         3         
Smilte         Petrauskaite   5         7         9         5         3         4         6         2         8         4         8         7         10        3         6         3         
Aleksandra     Pociute        9         9         6         5         6         7         5         6         6         8         9         6         9         7         2         9         
Jokubas        Adomaitis      6         1         10        7         1         3         10        10        9         7         1         10        6         7         1         9         
Aleksandra     Lukoseviciute  5         2         5         4         5         6         4         1         7         4         4         1         5         5         10        8         
Jokubas        Jankauskas     6         8         1         8         7         7         9         6         1         9         9         3         10        1         7         1         
Gija           Kazlauskaite   5         9         5         2         8         9         8         8         7         2         10        6         5         2         1         8         
Guoste         Kazlauskaite   3         5         8         5         10        10        2         2         2         10        10        10        1         6         7         10        
Gija           Kazlauskaite   1         5         5         3         3         1         4         8         6         3         7         8         7         10        9         7         
Aleksandra     Vasiliauskaite 6         1         7         9         10        5         10        5         5         8         10        5         4         6         1         5         
Robertas       Jankauskas     3         4         2         5         7         2         6         1         6         5         4         7         3         6         1         1         
Smilte         Kazlauskaite   6         8         7         8         3         5         3         9         1         4         10        4         3         4         1         6         
Karolina       Kavaliauskaite 7         5         5         5         6         5         5         4         9         7         5         8         8         3         9         1         
Karolina       Pociute        9         8         3         5         10        8         1         7         8         5         4         6         7         3         2         2         
Tomas          Navickas       6         9         5         1         2         10        7         5         8         7         3         9         7         3         10        10        
Karolina       Pociute        5         8         7         4         7         3         2         3         1         1         7         8         4         2         1         6         
Ieva           Kavaliauskaite 9         6         8         5         6         1         5         8         2         7         10        3         6         7         7         6         
Patricija      Jankauskaite   2         1         6         4         4         4         3         5         9         1         2         1         7         1         2         5         
Robertas       Sadauskas      5         4         10        10        5         1         1         6         7         3         10        3         3         10        8         4         
Robertas       Urbanavicius   1         2         5         3         8         2         6         6         10        8         10        10        8         7         7         5         
Robertas       Navickas       5         6         8         1         3         4         2         2         3         4         6         3         9         7         1         9         
Tomas          Sadauskas      2         5         5         5         7         2         8         3         9         1         5         7         10        8         2         5         
Aleksandra     Jankauskaite   1         6         1         4         9         10        9         5         4         4         6         4         1         4         7         4         
Augustas       Sadauskas      9         1         3         4         7         3         6         3         5         9         4         7         2         10        9         7         
Arnas          Sadauskas      3         3         9         8         3         7         8         1         9         9         2         7         1         2         9         2         
Karolina       Leonaviciute   5         10        3         8         2         8         10        3         4         8         7         3         9         5         1         2         
Patricija      Jankauskaite   10        6         4         8         9         3         2         8         4         2         5         5         5         4         10        3         
Ieva           Kavaliauskaite 5         8         9         7         9         7         10        3         2         4         6         8         2         9         2         4         
Karolina       Leonaviciute   9         1         6         5         4         4         8         2         8         2         10        5         7         6         9         4         
Marius         Urbanavicius   2         8         2         2         4         7         2         1         5         4         6         8         10        3         6         8         
Nojus          Kavaliauskas   10        10        4         10        3         6         10        3         6         6         5         8         4         4         7         7         
Gija           Petrauskaite   1         7         1         3         9         7         4         9         6         3         5         10        1         7         1         3         
Gija           Jankauskaite   5         10        8         1         7         10        9         8         8         1         9         3         1         3         9         6         
Gija           Jankauskaite   8         2         1         3         2         3         9         10        10        3         7         1         8         8         6         7         
Marius         Petrauskas     1         10        5         7         9         8         2         9         3         1         4         4         9         4         4         10        
Ieva           Butkute        3         7         2         5         1         7         9         2         10        5         2         7         5         6         5         5         
Patricija      Pociute        7         8         9         3         6         8         8         3         5         6         7         3         3         6         8         7         
Robertas       Petrauskas     8         5         5         6         1         1         9         6         10        3         3         6         4         9         2         9         
Ieva           Butkute        3         5         8         5         8         1         10        3         9         9         6         3         9         10        4         6         
Aleksandra     Butkute        4         8         4         1         4         3         1         8         1         9         4         5         9         4         7         1         
Liepa          Jankauskaite   3         6         4         3         9         5         9         1         4         9         7         6         3         10        10        8         
Ieva           Kazlauskaite   9         10        4         7         4         7         5         10        1         3         10        7         7         4         4         4         
Matas          Kazlauskas     5         9         4         8         6         8         2         6         4         3         5         5         10        6         7         8         
Robertas       Kazlauskas     2         8         5         1         1         2         7         1         2         2         7         3         5         1         2         5         
Smilte         Butkute        6         6         2         6         3         1         7         3         2         4         3         4         1         1         2         2         
Aleksandra     Lukoseviciute  10        9         6         6         10        5         4         6         8         3         2         5         6         4         9         10        
Aleksandra     Pociute        6         10        4         8         5         6         8         6         3         10        1         9         2         8         2         10        
Augustas       Mazeika        5         2         4         7         2         5         8         8         8         10        4         5         6         1         7         4         
Karolina       Pociute        3         2         7         9         6         8         1         7         3         3         1         8         6         2         6         1         
Arvydas        Butkus         5         7         9         2         6         1         9         2         7         1         8         2         8         2         8         2         
Liepa          Kavaliauskaite 1         4         5         2         10        2         9         10        1         4         8         10        9         5         4         7         
Guoste         Balciunaite    8         9         10        5         6         5         1         5         4         2         2         1         6         6         10        7         
Karolina       Jankauskaite   10        3         7         7         6         1         9         6         8         6         9         10        4         10        8         10        
Liepa          Butkute        6         5         6         1         10        6         5         9         3         6         6         3         9         6         4         2         
Gija           Pociute        5         8         10        1         5         9         2         10        9         6         7         2         8         7         10        3         
Deivydas       Kavaliauskas   2         7         1         2         4         8         5         6         10        6         4         7         3         10        10        6         
Nojus          Navickas       1         8         5         9         8         6         7         1         3         2         1         2         1         2         4         8         
Patricija      Butkute        10        7         1         1         7         5         3         3         5         5         10        10        8         4         1         5         
Arnas          Urbanavicius   7         1         6         5         9         4         1         7         10        7         4         3         7         5         7         1         
Gija           Lukoseviciute  4         2         1         3         1         10        8         6         10        3         10        2         1         10        6         3         
Augustas       Jankauskas     1         7         3         5         8         6         3         4         10        5         5         9         1         7         4         10        
Sandra         Butkute        7         6         9         8         2         1         6         3         9         8         9         3         1         10        8         9         
Matas          Petrauskas     7         1         1         4         6         7         8         8         5         9         3         4         10        4         5         6         
Sandra         Balciunaite    10        4         7         5         5         4         7         4         1         4         10        2         3         3         5         6         
Arvydas        Adomaitis      6         5         5         8         3         9         10        10        3         8         1         6         10        1         9         7         
Augustas       Butkus         8         2         6         10        1         4         5         3         1         4         7         4         2         2         7         8         
Arnas          Kazlauskas     9         8         7         2         9         4         10        1         6         8         3         3         6         6         4         3         
Ieva           Petrauskaite   7         7         7         8         2         3         9         5         9         2         9         10        6         2         8         6         
Arvydas        Kavaliauskas   10        1         5         1         8         10        3         8         5         4         8         7         10        2         8         9         
Robertas       Navickas       8         6         6         4         10        8         10        7         4         5         10        9         3         1         4         6         
Patricija      Leonaviciute   7         3         10        4         10        6         4         3         9         7         2         2         9         1         2         4         
Karolina       Petrauskaite   4         8         5         9         1         6         3         6         5         6         9         2         10        2         5         8         
Patricija      Kazlauskaite   1         6         8         5         1         3         6         7         7         1         3         2         1         7         7         7         
Robertas       Jankauskas     3         8         7         5         7         5         8         9         2         10        1         8         7         5         4         10        
Arvydas        Mazeika        2         4         2         9         10        3         3         6         4         2         4         4         4         9         4         10        
Patricija      Petrauskaite   5         6         8         7         7         2         5         9         7         7         1         4         3         7         4         10        
Sandra         Kavaliauskaite 6         6         9         1         2         10        2         6         3         8         4         8         6         3         6         8         
Patricija      Leonaviciute   9         4         4         5         3         6         4         3         10        2         4         2         2         3         9         10        
Vita           Leonaviciute   6         4         6         10        9         4         5         10        2         10        9         5         9         5         1         10        
Sandra         Leonaviciute   1         10        6         6         7         5         10        3         1         8         2         2         1         9         5         9         
Tomas          Mazeika        2         6         6         2         9         7         7         2         3         9         10        1         3         8         2         2         
Sandra         Vasiliauskaite 7         6         7         3         3         6         8         6         10        7         9         4         7         9         2         5         
Nojus          Adomaitis      3         9         8         4         9         4         6         1         7         5         2         10        10        10        8         6         
Sandra         Butkute        5         3         4         8         8         2         9         9         4         7         7         2         5         2         1         5         
Jokubas        Kavaliauskas   4         4         1         3         8         9         6         8         8         4         8         5         10        10        5         6         
Aleksandra     Balciunaite    4         6         8         2         7         3         9         6         8         10        3         1         4         5         5         3         
Sandra         Kazlauskaite   10        7         4         2         7         5         4         6         4         3         2         4         4         9         9         7         
Jokubas        Kavaliauskas   4         7         10        1         9         5         3         1         4         3         1         3         1         9         5         9         
Tomas          Butkus         8         4         9         4         1         7         1         8         7         4         10        3         7         9         7         1         
Matas          Petrauskas     1         6         4         3         10        1         7         1         1         6         1         1         4         8         5         4         
Aleksandra     Leonaviciute   3         5         2         3         1         4         5         7         8         5         3         2         7         6         1         4         
Robertas       Sadauskas      4         6         9         2         3         6         5         6         6         3         2         4         8         7         3         7         
Marius         Petrauskas     8         4         5         4         10        7         3         2         10        3         5         5         1         6         2         9         
Liepa          Vasiliauskaite 1         8         1         6         5         7         8         9         10        10        3         9         4         9         9         6         
Ieva           Balciunaite    10        9         7         9         1         3         4         1         5         4         5         4         10        9         3         2         
Gija           Petrauskaite   2         2         10        10        7         3         8         3         2         5         5         10        6         9         2         10        
Gija           Kavaliauskaite 7         3         8         6         4         1         8         8         8         8         7         6         2         3         4         8         
Arnas          Kazlauskas     8         3         10        4         5         1         6         8         10        9         3         1         9         2         3         9         
Aleksandra     Balciunaite    10        1         8         4         1         2         7         8         2         4         4         9         9         1         8         8         
Matas          Kavaliauskas   8         8         9         5         1         5         1         3         9         1         2         9         10        6         9         6         
Arvydas        Urbanavicius   9         7         4         9         6         8         6         9         3         8         4         2         4         7         1         9         
Patricija      Vasiliauskaite 10        1         1         9         10        1         6         4         1         10        1         7         3         8         1         5         
Jokubas        Butkus         2         1         3         1         1         3         1         1         3         8         5         5         10        9         2         10        
Tomas          Urbanavicius   3         8         1         6         8         5         3         4         2         5         4         7         3         5         3         3         
Guoste         Vasiliauskaite 9         3         4         5         5         9         9         1         1         1         9         1         5         7         3         1         
Jokubas        Petrauskas     6         4         5         6         7         10        9         9         9         5         5         9         5         3         10        6         
Marius         Urbanavicius   3         5         3         2         9         10        7         4         3         9         7         5         3         4         5         5         
Patricija      Petrauskaite   6         4         8         10        6         5         1         10        6         5         6         4         9         10        6         3         
Aleksandra     Butkute        3         7         3         4         9         7         1         10        6         6         7         4         5         1         4         8         
Arvydas        Adomaitis      9         4         6         3         10        3         7         2         1         4         4         2         8         2         5         6         
Augustas       Kavaliauskas   5         6         9         7         1         5         2         4         10        3         1         4         3         10        8         2         
Gija           Kavaliauskaite 8         9         7         5         2         7         5         8         8         6         3         5         8         8         6         1         
Robertas       Petrauskas     4         7         4         5         3         9         1         8         4         9         1         7         9         7         8         1         
Robertas       Adomaitis      1         8         1         1         7         1         7         2         1         5         10        1         1         4         7         5         
Augustas       Urbanavicius   6         7         6         6         6         9         1         9         9         7         10        5         4         8         8         9         
Augustas       Kavaliauskas   6         5         4         4         10        10        5         7         1         8         2         5         1         4         7         1         
Arvydas        Mazeika        6         2         4         9         3         4         9         5         6         2         2         7         8         8         3         9         
Robertas       Sadauskas      3         6         9         1         6         8         2         8         8         4         1         2         8         4         6         9         
Nojus          Adomaitis      5         6         9         1         7         5         10        3         6         2         8         5         6         4         6         10        
Gija           Balciunaite    9         2         4         8         9         9         7         4         10        6         10        7         2         10        9         4         
Tomas          Butkus         8         5         2         4         6         2         9         9         9         7         7         2         8         8         9         5         
Ieva           Balciunaite    10        4         5         3         1         4         10        10        1         9         2         2         1         5         10        5         
Tomas          Adomaitis      2         9         2         10        4         3         3         5         1         1         2         6         9         5         6         6         
Liepa          Kazlauskaite   4         10        10        9         2         1         5         4         3         7         1         4         5         7         4         10        
Patricija      Leonaviciute   9         7         5         6         2         5         1         10        7         4         7         9         1         3         2         9         
Vita           Vasiliauskaite 4         2         10        3         6         1         3         8         4         8         7         9         4         2         9         3         
Arvydas        Jankauskas     8         2         9         3         6         10        1         6         5         2         5         9         7         4         2         7         
Tomas          Butkus         3         2         3         7         8         5         9         10        5         7         3         7         2         6         9         1         
Augustas       Urbanavicius   2         9         10        3         8         10        10        3         9         7         6         1         9         8         1         9         
Guoste         Jankauskaite   3         5         4         1         1         7         4         7         10        7         9         5         5         6         1         5         
Jokubas        Jankauskas     1         8         7         5         1         4         9         2         4         8         2         9         4         5         4         3         
Smilte         Vasiliauskaite 6         9         3         6         4         4         3         4         9         2         10        8         7         3         1         7         
Jokubas        Mazeika        9         4         10        2         8         2         3         3         9         10        4         1         9         6         4         10        
Arnas          Adomaitis      9         3         9         5         4         5         5         10        7         7         4         3         5         8         5         10        
Tomas          Mazeika        7         1         9         10        6         10        3         5         4         6         9         6         8         2         6         4         
Patricija      Jankauskaite   3         1         10        10        9         7         6         2         5         5         9         5         9         2         8         9         
Deivydas       Butkus         6         8         1         3         1         7         1         8         10        5         6         6         1         10        3         4         
Vita           Kavaliauskaite 9         8         3         3         10        1         9         4         1         8         2         9         3         9         9         1         
Augustas       Kazlauskas     7         5         10        10        4         6         1         4         6         4         9         4         9         8         7         8         
Arnas          Mazeika        10        5         8         5         4         4         6         6         3         3         1         7         10        7         5         5         
Patricija      Kazlauskaite   8         10        2         4         9         3         6         2         8         2         10        9         5         9         6         7         
Arvydas        Adomaitis      4         9         9         9         2         6         1         7         4         7         2         7         2         6         7         5         
Gija           Leonaviciute   2         2         6         6         6         2         3         8         5         5         5         4         3         9         1         2         
Aleksandra     Petrauskaite   6         2         2         3         4         1         1         10        9         9         1         3         10        9         4         10        
Karolina       Jankauskaite   1         7         10        4         3         6         3         9         5         2         9         4         5         3         6         1         
Vita           Petrauskaite   10        1         3         1         8         5         3         3         8         5         9         6         3         6         3         3         
Vita           Kavaliauskaite 8         8         8         9         3         9         7         10        2         7         3         3         6         9         7         10        
Robertas       Butkus         10        6         1         6         10        4         9         6         7         4         3         8         6         9         6         1         
Ieva           Leonaviciute   7         4         7         6         3         2         7         10        2         10        8         4         8         7         8         7         
Arvydas        Jankauskas     1         6         5         10        10        7         1         2         3         8         2         7         1         10        1         1         
Ieva           Leonaviciute   8         6         3         1         6         7         2         3         6         10        1         9         9         3         10        5         
Aleksandra     Leonaviciute   7         5         7         5         6         6         3         4         8         9         2         4         3         7         10        6         
Patricija      Balciunaite    9         7         10        8         1         6         9         3         4         8         6         10        2         9         2         3         
Augustas       Kazlauskas     2         5         8         7         3         2         3         9         4         2         2         8         6         3         6         1         
Karolina       Butkute        7         5         1         3         1         1         5         1         1         10        4         5         6         8         6         10        
Smilte         Balciunaite    8         5         10        5         6         6         8         7         2         4         2         7         3         9         8         2         
Deivydas       Adomaitis      5         10        10        7         1         4         2         7         1         4         10        10        4         8         3         5         
Arvydas        Sadauskas      10        5         7         9         2         1         9         2         9         8         9         4         8         3         6         3         
Sandra         Lukoseviciute  7         8         7         6         6         9         9         3         9         1         3         5         3         2         6         5         
Liepa          Kazlauskaite   7         6         4         2         7         4         8         9         6         7         3         3         4         3         3         1         
Gija           Petrauskaite   9         7         1         2         8         2         1         8         6         6         5         8         1         5         1         1         
Smilte         Kazlauskaite   1         6         1         10        7         2         6         3         8         6         6         2         7         5         2         1         
Arnas          Kazlauskas     10        1         10        2         2         9         8         2         10        10        3         6         7         7         2         6         
Nojus          Urbanavicius   10        1         4         3         8         4         9         2         4         10        5         1         7         4         1         1         
Augustas       Mazeika        6         7         6         6         6         3         5         2         5         7         7         4         8         7         2         2         
Robertas       Kazlauskas     2         2         4         9         9         8         2         6         6         2         7         5         2         2         7         5         
Aleksandra     Lukoseviciute  9         7         7         4         6         2         10        3         8         10        1         2         2         8         6         7         
Aleksandra     Pociute        9         9         6         6         8         6         9         8         6         4         1         4         2         2         6         8         
Jokubas        Kazlauskas     4         6         10        2         5         2         6         4         10        2         8         5         9         1         2         3         
Smilte         Kazlauskaite   9         10        3         1         6         8         6         5         9         5         8         1         5         9         6         4         
Marius         Butkus         7         2         1         3         9         1         3         2         4         6         5         7         3         7         4         5         
Liepa          Jankauskaite   1         6         5         9         1         3         8         10        5         6         3         2         6         4         7         1         
Arvydas        Kavaliauskas   2         7         9         6         1         10        4         6         5         2         5         4         4         1         3         4         
Sandra         Lukoseviciute  2         10        9         10        6         5         4         7         7         9         10        6         7         9         9         6         
Smilte         Kavaliauskaite 1         5         1         6         4         5         2         2         9         3         3         7         7         3         10        10        
Liepa          Leonaviciute   3         4         4         4         10        4         1         1         8         1         8         4         9         8         10        10        
Ieva           Jankauskaite   7         6         9         4         2         2         5         3         6         4         1         8         2         5         4         3         
Matas          Jankauskas     9         7         8         10        2         7         8         6         3         4         7         6         7         1         1         5         
Matas          Adomaitis      5         8         4         1         4         3         9         1         5         4         7         4         4         9         9         2         
Arvydas        Kavaliauskas   9         3         6         4         2         3         10        1         7         6         5         8         2         3         7         9         
Ieva           Kazlauskaite   9         8         8         8         4         7         9         8         10        9         4         9         9         6         4         5         
Matas          Petrauskas     10        6         9         10        6         3         4         5         5         7         8         9         10        1         4         9         
Deivydas       Jankauskas     4         3         5         4         7         8         6         8         7         6         8         4         4         3         3         10        
Robertas       Kavaliauskas   4         3         5         9         2         8         8         5         10        7         5         4         2         1         5         3         
Marius         Petrauskas     8         10        1         7         10        9         1         7         9         3         7         10        10        6         5         9         
Karolina       Jankauskaite   2         2         7         4         1         9         10        2         2         1         1         1         10        2         8         9         
Arvydas        Jankauskas     9         9         8         4         2         5         4         7         3         1         5         8         3         5         3         7         
Smilte         Lukoseviciute  8         7         4         2         5         8         2         2         3         4         5         9         9         2         7         5         
Arnas          Kazlauskas     1         7         4         4         1         1         7         5         5         5         5         1         9         3         8         6         
Arvydas        Urbanavicius   9         5         8         7         7         1         8         10        7         4         1         3         4         6         2         10        
Jokubas        Navickas       3         2         9         6         1         3         1         2         6         5         8         6         3         7         3         7         
Aleksandra     Kavaliauskaite 1         10        2         6         3         9         4         2         9         8         9         7         4         3         2         2         
Gija           Jankauskaite   9         5         3         6         10        10        9         1         3         9         10        6         8         10        3         5         
Tomas          Petrauskas     1         6         9         7         8         10        1         10        2         9         4         1         1         2         10        4         
Aleksandra     Vasiliauskaite 2         3         2         7         5         2         3         4         9         10        10        10        5         2         9         2         
Jokubas        Sadauskas      9         9         8         10        1         4         6         3         2         7         8         6         5         2         3         6         
Deivydas       Petrauskas     5         4         5         1         10        7         6         4         7         5         10        5         9         2         8         2         
Smilte         Leonaviciute   7         8         2         9         5         3         9         7         2         10        3         6         4         1         7         3         
Sandra         Lukoseviciute  7         1         6         5         9         5         5         8         5         5         8         10        6         3         6         1         
Karolina       Butkute        7         9         9         8         10        8         1         6         3         3         2         4         8         4         7         3         
Liepa          Balciunaite    2         9         6         9         3         7         10        8         5         6         10        4         7         9         1         1         
Deivydas       Kazlauskas     6         7         8         9         1         9         4         3         4         2         4         2         2         1         9         5         
Robertas       Petrauskas     6         6         3         3         4         5         1         6         7         4         3         9         1         4         8         5         
Nojus          Petrauskas     8         1         9         4         6         9         1         8         2         4         9         4         7         7         2         2         
Karolina       Lukoseviciute  8         3         5         2         3         6         8         1         8         5         9         7         4         9         2         5         
Ieva           Petrauskaite   9         5         10        7         7         4         10        5         6         1         6         5         6         2         2         7         
Marius         Navickas       3         10        4         9         8         3         1         6         3         10        5         4         5         5         5         6         
Augustas       Kazlauskas     6         9         10        8         2         7         3         6         10        9         3         8         7         10        9         3         
Patricija      Balciunaite    5         1         10        6         8         8         8         6         4         3         8         2         8         1         7         5         
Patricija      Lukoseviciute  10        4         4         7         9         4         2         8         2         8         4         10        10        9         5         8         
