Vardas         Pavarde        ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.           
Guoste         Kazlauskaite   7         1         8         10        5         2         8         2         4         10        10        6         9         2         1         8         
Marius         Urbanavicius   8         10        2         7         8         9         8         4         9         10        9         8         9         8         5         6         
Tomas          Mazeika        2         10        10        5         2         3         10        2         8         9         8         6         4         7         1         10        
Marius         Jankauskas     3         9         7         4         4         5         9         9         2         8         9         8         8         1         9         4         
Jokubas        Adomaitis      6         9         2         7         8         2         8         9         9         10        7         4         6         9         1         1         
Robertas       Mazeika        9         7         1         6         1         7         7         5         1         1         7         2         5         8         1         9         
Vita           Vasiliauskaite 10        9         2         9         2         8         4         2         2         9         5         5         5         7         3         8         
Gija           Jankauskaite   5         8         6         5         8         6         9         9         1         9         9         8         8         2         5         1         
Guoste         Lukoseviciute  7         9         5         8         1         6         1         10        7         4         7         1         5         3         9         9         
Jokubas        Mazeika        8         6         1         7         2         1         1         9         10        9         9         5         3         10        2         8         
Augustas       Mazeika        4         6         6         9         3         4         9         5         4         3         5         5         6         4         8         8         
Matas          Adomaitis      3         9         4         9         6         1         2         7         1         8         8         3         1         2         2         6         
Ieva           Butkute        6         2         7         5         4         4         6         6         5         9         7         7         1         4         5         1         
Patricija      Balciunaite    9         1         6         9         7         5         4         5         10        8         6         2         1         7         9         4         
Smilte         Vasiliauskaite 10        4         2         10        1         2         3         5         2         2         1         6         8         3         6         10        
Guoste         Lukoseviciute  10        7         6         2         5         6         1         9         4         7         1         5         4         5         7         5         
Ieva           Leonaviciute   10        3         4         1         1         3         3         1         3         7         5         5         8         8         8         3         
Augustas       Sadauskas      2         7         8         4         9         5         4         3         5         7         8         2         4         5         8         1         
Marius         Adomaitis      7         8         8         1         9         3         9         4         6         7         10        2         4         9         2         2         
Nojus          Butkus         8         9         4         6         4         5         3         10        9         10        4         5         7         8         3         4         
Robertas       Petrauskas     7         2         8         10        9         3         6         3         7         6         1         2         2         6         8         7         
Sandra         Leonaviciute   7         8         10        10        4         1         8         3         3         6         10        8         3         4         7         10        
Deivydas       Adomaitis      3         9         3         8         8         2         10        10        4         4         9         7         8         2         6         10        
Jokubas        Kavaliauskas   6         6         5         7         8         1         5         9         4         3         2         4         4         6         1         2         
Jokubas        Sadauskas      1         10        1         3         8         9         3         4         3         6         2         2         2         2         4         10        
Liepa          Butkute        10        5         7         8         3         1         7         5         3         9         7         3         8         2         4         2         
Tomas          Jankauskas     5         7         2         2         3         2         5         6         8         4         9         7         7         10        9         7         
Nojus          Jankauskas     7         4         1         5         4         7         9         4         10        4         5         8         2         2         4         6         
Robertas       Butkus         1         1         6         9         9         5         8         5         4         9         8         3         6         1         7         8         
Jokubas        Jankauskas     6         10        8         5         2         9         4         4         8         10        6         9         7         2         6         2         
Matas          Adomaitis      2         4         5         5         5         5         10        6         2         1         2         4         8         6         3         3         
Liepa          Pociute        1         3         9         8         4         6         4         7         9         7         3         2         3         10        3         1         
Karolina       Pociute        7         9         7         4         5         4         1         1         3         8         1         1         4         5         1         5         
Tomas          Butkus         7         7         5         8         10        9         10        8         2         6         1         4         5         8         4         10        
Tomas          Kazlauskas     5         1         6         4         10        9         2         2         5         5         10        9         1         3         1         7         
Augustas       Petrauskas     5         10        4         5         4         9         5         1         10        4         10        9         8         1         1         8         
Nojus          Jankauskas     5         10        9         3         6         1         8         6         7         3         3         5         7         2         8         2         
Arvydas        Kavaliauskas   3         1         8         3         6         10        10        3         2         2         7         4         3         4         1         5         
Robertas       Adomaitis      7         8         5         5         6         1         8         2         6         8         5         9         8         9         10        6         
Aleksandra     Leonaviciute   5         5         10        6         7         1         8         1         9         9         8         7         8         9         3         7         
Guoste         Vasiliauskaite 3         7         6         6         10        9         2         2         2         3         6         3         10        5         7         9         
Guoste         Kavaliauskaite 5         1         2         5         10        10        4         10        7         1         3         7         9         2         4         3         
Gija           Jankauskaite   9         7         2         9         5         3         3         3         5         1         8         2         6         4         4         10        
Deivydas       Kavaliauskas   1         2         8         10        5         3         3         6         6         7         4         9         1         3         7         5         
Nojus          Mazeika        4         6         2         2         3         6         7         4         9         3         7         8         9         9         7         10        
Sandra         Petrauskaite   4         8         2         3         1         1         8         10        2         4         2         7         4         4         9         5         
Nojus          Butkus         3         3         3         1         6         10        4         7         9         1         8         7         3         2         9         6         
Liepa          Vasiliauskaite 9         8         7         2         8         10        7         8         6         4         7         3         10        6         3         9         
Sandra         Leonaviciute   2         10        5         9         1         1         6         4         4         10        4         9         8         5         2         10        
Nojus          Adomaitis      5         3         2         8         2         9         3         4         2         10        6         6         1         6         4         1         
Liepa          Jankauskaite   8         8         6         6         9         10        6         7         4         5         7         8         2         6         7         2         
Augustas       Mazeika        8         5         4         5         2         6         6         7         9         3         9         8         1         6         2         10        
Karolina       Jankauskaite   7         3         4         7         7         6         2         10        9         6         5         8         9         6         1         6         
Tomas          Kavaliauskas   10        7         8         5         9         10        10        10        7         6         6         10        9         8         10        8         
Sandra         Vasiliauskaite 2         9         4         6         6         10        9         4         1         1         10        10        7         4         6         8         
Robertas       Butkus         8         8         8         3         9         3         1         10        9         6         4         10        3         6         9         7         
Augustas       Adomaitis      7         3         8         8         1         5         8         7         7         4         3         4         1         8         7         9         
Patricija      Petrauskaite   7         8         4         6         1         9         9         10        6         5         6         7         7         10        5         6         
Nojus          Adomaitis      6         9         4         9         5         10        3         2         2         7         10        4         1         3         5         2         
Patricija      Butkute        6         4         6         3         4         3         7         3         9         2         4         5         4         2         8         10        
Deivydas       Urbanavicius   1         2         5         1         6         9         10        7         1         10        9         6         1         9         6         2         
Aleksandra     Lukoseviciute  5         8         8         2         6         2         6         4         6         7         8         3         10        4         5         9         
Smilte         Kazlauskaite   1         4         3         4         7         9         3         9         1         5         8         1         9         3         4         4         
Smilte         Butkute        10        5         2         7         1         5         4         10        5         4         2         10        9         8         5         5         
Smilte         Kavaliauskaite 6         1         7         5         2         10        6         7         10        3         8         9         3         5         8         9         
Deivydas       Adomaitis      9         3         8         8         8         8         6         9         6         3         5         5         4         4         7         1         
Vita           Petrauskaite   3         6         1         2         6         5         4         8         5         5         2         8         2         8         5         4         
Augustas       Navickas       5         6         7         2         2         4         9         7         9         8         1         7         5         4         8         4         
Aleksandra     Lukoseviciute  7         9         4         6         6         9         3         3         5         2         5         6         6         1         3         6         
Robertas       Petrauskas     9         4         9         6         10        9         5         3         3         2         7         1         2         10        9         3         
Ieva           Kazlauskaite   1         10        5         9         4         9         9         6         9         3         8         8         6         4         6         7         
Nojus          Sadauskas      2         5         2         4         2         9         10        6         9         2         8         8         10        10        5         9         
Jokubas        Sadauskas      8         2         4         3         3         2         6         2         2         7         3         5         2         4         5         1         
Arnas          Jankauskas     9         9         5         2         4         9         1         3         9         9         4         3         4         2         10        2         
Tomas          Jankauskas     7         5         9         4         2         8         6         3         5         4         6         4         4         2         2         6         
Marius         Kazlauskas     5         5         10        8         8         10        10        4         7         1         5         2         9         5         3         3         
Arvydas        Mazeika        2         9         10        10        5         6         1         7         10        1         1         5         7         10        6         4         
Marius         Kavaliauskas   10        7         7         3         5         3         4         5         5         6         1         8         2         8         4         6         
Arvydas        Jankauskas     3         4         1         8         1         4         10        7         1         3         1         2         9         7         2         3         
Patricija      Kazlauskaite   3         5         2         2         2         7         4         5         5         1         10        3         5         8         4         6         
Tomas          Kazlauskas     3         6         2         9         3         4         1         5         3         4         8         6         7         5         7         8         
Ieva           Leonaviciute   5         3         7         5         9         2         2         1         10        3         9         6         10        8         2         1         
Deivydas       Butkus         3         6         9         2         10        9         10        9         7         1         4         4         1         5         5         2         
Karolina       Kavaliauskaite 2         10        1         3         5         1         2         4         8         10        10        1         3         9         7         10        
Arnas          Navickas       5         1         1         4         6         4         10        6         10        3         8         10        6         9         2         1         
Vita           Balciunaite    1         1         8         3         9         10        9         10        2         4         6         3         9         3         4         8         
Augustas       Jankauskas     1         5         1         5         1         7         2         6         3         8         7         8         4         5         8         1         
Patricija      Leonaviciute   10        2         7         8         10        1         10        10        3         4         4         4         10        8         10        7         
Guoste         Vasiliauskaite 9         5         10        10        3         4         1         6         9         1         6         3         8         4         10        3         
Arnas          Kazlauskas     8         7         6         2         2         7         5         9         2         8         5         7         7         10        5         1         
Jokubas        Butkus         4         3         1         9         1         3         3         6         4         10        9         5         5         4         10        9         
Sandra         Kavaliauskaite 5         9         3         7         8         3         6         9         1         10        6         9         9         7         7         1         
Vita           Petrauskaite   4         9         5         2         4         9         8         6         5         1         1         10        1         1         8         5         
Vita           Butkute        8         5         9         8         9         2         3         4         10        2         5         6         4         6         6         3         
Ieva           Vasiliauskaite 6         2         1         1         3         5         4         4         8         1         9         8         7         9         3         8         
Jokubas        Adomaitis      3         5         2         7         6         1         10        5         3         8         6         6         1         10        8         1         
Vita           Petrauskaite   10        6         1         3         1         8         1         1         10        10        2         3         3         2         2         7         
Gija           Butkute        4         4         10        8         2         8         7         4         10        5         7         6         6         1         2         1         
Matas          Petrauskas     4         9         7         2         4         1         10        8         9         2         8         10        8         8         5         10        
Smilte         Vasiliauskaite 2         3         7         1         6         4         1         5         5         2         7         4         6         5         9         10        
Nojus          Urbanavicius   2         10        2         7         4         3         6         5         5         8         8         6         7         1         5         10        
Aleksandra     Petrauskaite   5         10        3         4         4         1         5         2         5         8         9         2         4         6         3         2         
Smilte         Balciunaite    4         10        2         1         1         9         4         7         6         9         6         9         5         7         9         1         
Ieva           Balciunaite    10        4         2         3         7         4         5         9         3         3         4         10        2         4         7         9         
Marius         Adomaitis      8         10        8         2         10        7         6         1         2         10        6         2         9         10        3         8         
Jokubas        Navickas       3         6         9         9         2         6         4         7         8         3         4         5         10        4         7         3         
Sandra         Pociute        9         5         2         6         8         1         2         4         1         6         3         8         3         7         4         2         
Guoste         Leonaviciute   3         3         1         6         8         7         5         4         3         2         1         8         2         8         2         1         
Robertas       Petrauskas     10        5         4         4         2         4         5         4         9         9         10        8         3         5         5         7         
Ieva           Kazlauskaite   1         7         2         8         9         10        7         7         1         5         8         6         2         1         10        6         
Sandra         Kazlauskaite   1         3         10        4         5         6         6         8         1         6         10        5         10        8         1         7         
Deivydas       Navickas       4         8         8         1         8         4         2         3         5         7         7         9         1         5         8         2         
Arvydas        Jankauskas     5         3         6         8         8         10        1         3         9         5         10        3         5         4         6         1         
Vita           Vasiliauskaite 4         2         10        7         3         10        3         5         9         4         5         8         6         9         1         4         
Aleksandra     Petrauskaite   6         10        5         4         1         5         1         10        4         5         6         9         4         8         6         2         
Arvydas        Adomaitis      1         5         9         1         3         5         10        7         3         2         6         4         3         6         5         9         
Karolina       Balciunaite    5         8         6         4         1         7         6         4         10        8         1         3         7         10        7         10        
Sandra         Petrauskaite   2         2         5         4         3         10        6         7         2         3         8         3         1         1         5         3         
Liepa          Petrauskaite   5         7         6         4         2         9         10        1         1         8         8         10        4         6         1         1         
Arvydas        Mazeika        6         9         1         6         9         2         4         3         3         9         3         7         5         5         6         1         
Matas          Mazeika        3         4         1         10        6         5         6         10        9         7         7         6         1         4         2         3         
Vita           Pociute        9         6         9         8         10        1         9         4         4         4         4         4         10        6         6         5         
Guoste         Petrauskaite   2         6         7         7         4         7         6         8         2         9         4         3         3         6         5         2         
Sandra         Lukoseviciute  10        8         5         8         3         9         3         1         9         7         7         3         8         2         6         9         
Augustas       Jankauskas     6         4         7         10        5         9         10        5         8         10        1         2         10        1         5         9         
Smilte         Butkute        4         3         10        6         9         3         8         5         5         4         1         5         6         7         3         1         
Ieva           Kazlauskaite   9         5         7         2         5         8         1         9         7         2         3         7         7         7         6         6         
Patricija      Jankauskaite   4         10        10        6         3         1         3         8         8         6         3         10        1         1         3         7         
Smilte         Petrauskaite   5         2         6         6         10        1         7         10        1         7         5         5         9         9         1         6         
Gija           Leonaviciute   5         4         7         5         6         2         4         10        1         10        9         7         8         1         8         9         
Liepa          Balciunaite    2         2         10        10        3         2         7         10        1         7         2         6         5         5         10        5         
Aleksandra     Butkute        8         10        1         7         6         4         2         3         8         4         4         7         7         8         8         2         
Vita           Butkute        4         5         8         7         1         5         4         3         3         9         10        8         8         4         8         2         
Arvydas        Petrauskas     7         8         4         5         6         6         4         5         4         10        9         6         9         7         6         6         
Augustas       Petrauskas     9         5         6         10        2         2         4         10        1         4         9         9         8         7         4         4         
Vita           Pociute        3         1         4         9         10        1         3         4         10        5         2         9         6         10        4         10        
Gija           Kavaliauskaite 6         1         9         9         2         5         1         10        1         6         7         9         10        3         8         10        
Patricija      Petrauskaite   2         6         10        5         7         9         5         1         8         1         3         8         8         6         8         5         
Sandra         Lukoseviciute  7         10        6         3         2         2         6         9         10        4         10        3         1         8         1         9         
Vita           Vasiliauskaite 10        6         9         6         4         5         7         9         7         9         5         9         8         3         6         2         
Deivydas       Kavaliauskas   2         8         9         4         6         8         6         1         4         10        1         1         6         3         3         8         
Marius         Petrauskas     10        6         9         9         10        8         1         7         3         9         1         4         6         10        6         2         
Guoste         Kavaliauskaite 5         7         2         7         2         4         8         8         10        6         2         2         9         8         2         5         
Jokubas        Kazlauskas     4         10        3         3         2         3         1         2         9         3         9         3         1         4         6         7         
Patricija      Kavaliauskaite 8         2         6         3         8         2         9         9         2         2         1         6         8         8         6         2         
Deivydas       Sadauskas      9         5         7         7         8         10        5         7         1         3         2         8         10        6         7         1         
Jokubas        Kavaliauskas   8         7         4         4         1         2         9         5         7         10        5         10        4         6         9         8         
Jokubas        Jankauskas     1         6         6         5         6         10        5         2         3         8         6         10        3         2         1         9         
Nojus          Adomaitis      7         10        9         2         2         3         5         2         3         4         5         3         10        2         3         7         
Jokubas        Adomaitis      1         3         1         2         4         4         5         1         2         9         10        1         2         7         2         8         
Nojus          Jankauskas     7         2         8         9         7         7         3         6         4         4         2         7         6         9         7         8         
Gija           Pociute        10        9         4         10        2         10        2         9         5         6         3         1         3         7         6         5         
Arnas          Sadauskas      4         10        10        10        5         10        10        1         9         10        5         3         5         2         3         1         
Tomas          Jankauskas     3         1         8         9         10        1         4         6         1         7         4         1         4         6         3         1         
Matas          Kavaliauskas   1         9         9         2         9         9         5         6         9         9         1         6         3         2         4         1         
Robertas       Urbanavicius   5         8         4         7         6         8         9         10        5         5         1         9         2         1         6         4         
Sandra         Petrauskaite   9         10        8         6         1         6         1         3         2         3         5         10        9         4         4         8         
Sandra         Petrauskaite   10        10        9         10        10        6         4         7         6         5         7         8         1         9         5         1         
Arnas          Sadauskas      6         2         4         9         5         2         10        3         4         9         2         7         1         7         3         4         
Patricija      Kazlauskaite   5         9         1         7         8         8         6         1         4         8         5         2         10        2         4         7         
Nojus          Adomaitis      10        9         7         5         10        5         3         4         2         6         8         2         7         5         10        4         
Nojus          Mazeika        10        5         1         3         2         7         8         7         5         2         8         1         7         5         1         9         
Smilte         Vasiliauskaite 10        1         2         8         3         5         2         10        4         1         8         5         4         5         8         9         
Karolina       Leonaviciute   7         10        1         6         3         3         3         7         6         7         10        6         4         6         1         4         
Arvydas        Mazeika        7         5         7         4         5         7         4         9         9         7         5         9         5         4         5         7         
Vita           Lukoseviciute  9         7         10        2         7         10        2         3         3         2         7         3         7         5         4         4         
Liepa          Balciunaite    10        1         4         1         4         6         3         4         1         3         7         8         7         1         8         9         
Ieva           Petrauskaite   9         7         2         3         10        7         8         9         8         5         1         6         10        1         7         6         
Sandra         Balciunaite    3         7         4         5         7         6         2         7         10        4         10        7         3         3         1         9         
Arvydas        Kavaliauskas   10        6         2         7         2         4         1         1         3         1         1         5         9         10        3         1         
Gija           Petrauskaite   2         2         7         2         2         2         8         9         5         8         9         3         1         3         9         7         
Deivydas       Kavaliauskas   6         5         5         9         8         2         7         9         3         6         5         9         3         3         8         4         
Matas          Mazeika        8         7         4         1         3         1         1         9         5         3         1         6         8         10        7         8         
Nojus          Urbanavicius   8         8         6         4         10        7         6         5         10        3         6         5         7         9         8         5         
Patricija      Vasiliauskaite 3         1         1         2         8         8         2         3         8         1         2         9         5         7         6         3         
Deivydas       Navickas       9         6         10        5         6         5         4         6         9         2         6         7         6         9         5         7         
Sandra         Pociute        6         8         6         2         6         3         9         10        1         8         8         2         7         8         8         6         
Arvydas        Mazeika        7         4         6         7         6         9         9         8         2         6         1         7         4         4         2         9         
Augustas       Navickas       4         5         2         5         9         7         8         2         7         7         6         4         8         2         6         2         
Jokubas        Sadauskas      8         2         10        4         3         5         3         5         9         4         4         6         1         2         9         3         
Sandra         Kavaliauskaite 5         4         5         1         5         4         9         2         7         10        7         4         1         4         2         7         
Deivydas       Kavaliauskas   8         9         8         8         4         10        10        7         8         1         9         6         7         9         2         2         
Smilte         Lukoseviciute  10        1         9         6         7         9         4         5         7         6         10        4         2         8         6         4         
Deivydas       Butkus         7         2         3         9         2         4         3         4         7         5         5         1         2         7         9         3         
Karolina       Kavaliauskaite 4         10        1         5         4         3         8         9         7         9         6         1         3         7         1         7         
Deivydas       Kazlauskas     5         1         6         4         7         1         8         3         5         5         9         4         6         9         10        6         
Aleksandra     Leonaviciute   3         1         7         1         1         7         6         9         6         5         8         10        7         10        3         4         
Ieva           Vasiliauskaite 9         8         1         10        4         5         8         10        7         7         8         10        4         5         3         2         
Robertas       Adomaitis      2         3         1         9         4         7         7         4         5         9         2         8         3         3         7         10        
Patricija      Lukoseviciute  4         4         2         7         2         1         1         8         1         10        4         9         2         6         4         8         
Marius         Adomaitis      2         3         2         9         3         3         9         7         4         2         2         2         10        1         1         10        
Ieva           Butkute        10        8         9         6         7         4         9         8         7         9         1         6         7         8         10        5         
Arnas          Kavaliauskas   9         6         7         9         5         6         6         5         1         9         9         7         2         8         3         2         
Ieva           Pociute        6         3         4         6         7         1         2         4         9         7         4         9         7         2         1         1         
Karolina       Petrauskaite   1         4         7         1         10        10        5         1         7         2         1         8         4         3         7         6         
Gija           Petrauskaite   8         8         2         10        5         3         4         9         3         10        9         8         9         2         6         9         
Arvydas        Jankauskas     5         2         8         8         3         6         5         8         1         9         7         3         2         2         10        8         
Robertas       Navickas       8         1         8         9         7         7         8         3         8         6         2         2         9         5         3         9         
Liepa          Leonaviciute   2         6         4         2         4         10        10        2         2         2         4         8         5         5         3         4         
Karolina       Jankauskaite   3         3         8         4         9         3         10        10        3         10        4         5         9         10        7         9         
Aleksandra     Lukoseviciute  7         7         2         8         3         2         10        7         5         4         8         10        3         3         7         8         
Nojus          Urbanavicius   1         4         7         9         7         9         1         7         5         7         9         9         2         1         4         10        
Aleksandra     Jankauskaite   6         7         8         9         3         8         3         5         3         1         4         10        6         4         6         1         
Aleksandra     Vasiliauskaite 9         3         9         2         4         2         1         1         9         9         8         1         10        7         1         5         
Deivydas       Mazeika        4         5         5         10        8         8         5         3         9         8         1         1         8         8         10        5         
Arnas          Petrauskas     1         5         9         3         10        5         1         4         5         3         9         8         10        6         8         10        
Deivydas       Adomaitis      4         3         10        7         1         1         6         8         6         3         4         7         10        6         7         2         
Nojus          Kazlauskas     2         5         8         1         8         6         8         3         3         3         2         7         7         8         10        2         
Gija           Pociute        10        10        10        10        10        2         8         10        2         9         2         6         2         2         3         1         
Patricija      Leonaviciute   1         8         10        4         4         1         7         1         6         10        4         5         10        9         9         3         
Matas          Adomaitis      5         4         7         5         2         1         6         5         10        4         9         8         4         10        5         6         
Ieva           Pociute        9         1         5         3         9         8         8         10        7         5         6         6         5         10        10        3         
Gija           Vasiliauskaite 8         9         1         9         10        10        3         5         6         4         5         5         10        4         4         7         
Liepa          Leonaviciute   1         4         9         3         7         8         6         5         4         5         1         2         2         9         10        4         
Robertas       Sadauskas      3         2         8         6         1         6         7         4         2         5         4         6         5         3         6         3         
Arnas          Mazeika        3         6         7         1         5         2         9         2         10        7         4         6         10        7         3         5         
Karolina       Kavaliauskaite 1         8         6         4         1         3         5         7         4         10        3         2         1         5         5         7         
Patricija      Lukoseviciute  5         8         5         6         8         9         1         9         5         8         5         8         1         3         9         5         
Marius         Jankauskas     6         2         7         3         9         7         9         3         2         1         1         7         2         9         4         9         
Augustas       Urbanavicius   3         3         3         8         6         1         8         8         3         9         8         10        8         6         6         5         
Smilte         Kavaliauskaite 3         9         3         3         3         6         1         3         1         6         7         8         6         9         4         5         
Guoste         Kavaliauskaite 2         1         10        1         5         4         7         3         7         9         10        5         1         10        3         10        
Nojus          Adomaitis      10        9         7         8         5         8         10        7         4         3         3         7         5         1         8         7         
Arvydas        Sadauskas      3         6         10        9         3         10        1         5         8         4         4         8         10        3         10        7         
Ieva           Kavaliauskaite 5         7         8         7         7         5         9         10        4         5         3         4         6         10        5         3         
Karolina       Vasiliauskaite 10        9         4         9         4         5         2         8         7         5         3         2         3         2         3         8         
Ieva           Vasiliauskaite 9         10        8         9         1         4         2         2         6         6         7         6         4         2         5         5         
Arvydas        Butkus         1         7         6         3         10        8         5         5         3         1         2         10        2         9         10        5         
Smilte         Balciunaite    10        7         3         10        3         4         7         5         6         3         6         8         1         1         4         9         
Sandra         Kavaliauskaite 3         5         1         7         7         3         5         9         5         6         4         8         2         1         3         10        
Matas          Navickas       5         8         1         9         4         2         9         3         7         2         3         4         9         9         3         3         
Liepa          Vasiliauskaite 7         5         8         8         5         6         7         7         8         7         3         1         6         2         5         7         
Arvydas        Jankauskas     4         6         7         3         8         4         8         6         4         1         6         6         7         4         9         8         
Vita           Balciunaite    5         3         4         4         3         8         8         6         9         8         4         7         4         9         7         10        
Deivydas       Jankauskas     7         2         3         3         5         5         6         4         1         2         9         4         1         10        6         1         
